date_time,agency_name,counter_id,visitor_count,unit
2024-11-01_00,Lyon_1,0,-1,visitors
2024-11-01_00,Lyon_1,1,-1,visitors
2024-11-01_00,Lyon_1,2,-1,visitors
2024-11-01_00,Lyon_2,0,-1,visitors
2024-11-01_00,Lyon_2,1,-1,visitors
2024-11-01_00,Lyon_3,0,-1,visitors
2024-11-01_00,Grenoble_1,0,-1,visitors
2024-11-01_00,Grenoble_1,1,-1,visitors
2024-11-01_00,Grenoble_1,2,-1,visitors
2024-11-01_00,Grenoble_2,0,-1,visitors
2024-11-01_00,Grenoble_2,1,-1,visitors
2024-11-01_00,Chambery_1,0,-1,visitors
2024-11-01_00,Chambery_1,1,-1,visitors
2024-11-01_00,,2,-1,visitors
2024-11-01_00,Chambery_2,0,-1,visitors
2024-11-01_00,Aix_les_bains_1,0,-1,visitors
2024-11-01_00,La_Biolle_1,0,-1,visitors
2024-11-01_00,Cognin_1,0,-1,visitors
2024-11-01_00,Cognin_1,1,-1,visitors
2024-11-01_00,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_00,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_01,Lyon_1,0,-1,visitors
2024-11-01_01,Lyon_1,1,-1,visitors
2024-11-01_01,Lyon_1,2,-1,visitors
2024-11-01_01,Lyon_2,0,-1,visitors
2024-11-01_01,Lyon_2,1,-1,visitors
2024-11-01_01,Lyon_3,0,-1,visitors
2024-11-01_01,Grenoble_1,0,-1,visitors
2024-11-01_01,Grenoble_1,1,-1,visitors
2024-11-01_01,Grenoble_1,2,-1,visitors
2024-11-01_01,Grenoble_2,0,-1,visitors
2024-11-01_01,Grenoble_2,1,-1,visitors
2024-11-01_01,Chambery_1,0,-1,visitors
2024-11-01_01,Chambery_1,1,-1,visitors
2024-11-01_01,Chambery_1,2,-1,visitors
2024-11-01_01,Chambery_2,0,-1,visitors
2024-11-01_01,Aix_les_bains_1,0,-1,visitors
2024-11-01_01,La_Biolle_1,0,-1,visitors
2024-11-01_01,Cognin_1,0,-1,visitors
2024-11-01_01,Cognin_1,1,-1,visitors
2024-11-01_01,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_01,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_02,Lyon_1,0,-1,visitors
2024-11-01_02,Lyon_1,1,-1,visitors
2024-11-01_02,Lyon_1,2,-1,visitors
2024-11-01_02,Lyon_2,0,-1,visitors
2024-11-01_02,Lyon_2,1,-1,visitors
2024-11-01_02,Lyon_3,0,-1,visitors
2024-11-01_02,Grenoble_1,0,-1,visitors
2024-11-01_02,Grenoble_1,1,-1,visitors
2024-11-01_02,Grenoble_1,2,-1,visitors
2024-11-01_02,Grenoble_2,0,-1,visitors
2024-11-01_02,Grenoble_2,1,-1,visitors
2024-11-01_02,Chambery_1,0,-1,visitors
2024-11-01_02,Chambery_1,1,-1,visitors
2024-11-01_02,Chambery_1,2,-1,visitors
2024-11-01_02,Chambery_2,0,-1,visitors
2024-11-01_02,Aix_les_bains_1,0,-1,visitors
2024-11-01_02,La_Biolle_1,0,-1,visitors
2024-11-01_02,Cognin_1,0,-1,visitors
2024-11-01_02,Cognin_1,1,-1,visitors
2024-11-01_02,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_02,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_03,Lyon_1,0,-1,visitors
2024-11-01_03,Lyon_1,1,-1,visitors
2024-11-01_03,Lyon_1,2,-1,visitors
2024-11-01_03,Lyon_2,0,-1,visitors
2024-11-01_03,Lyon_2,1,-1,visitors
2024-11-01_03,Lyon_3,0,-1,visitors
2024-11-01_03,Grenoble_1,0,-1,visitors
2024-11-01_03,Grenoble_1,1,-1,visitors
2024-11-01_03,Grenoble_1,2,-1,visitors
2024-11-01_03,Grenoble_2,0,-1,visitors
2024-11-01_03,Grenoble_2,1,-1,visitors
2024-11-01_03,Chambery_1,0,-1,visitors
2024-11-01_03,Chambery_1,1,-1,visitors
2024-11-01_03,Chambery_1,2,-1,visitors
2024-11-01_03,Chambery_2,0,-1,visitors
2024-11-01_03,Aix_les_bains_1,0,-1,visitors
2024-11-01_03,La_Biolle_1,0,-1,visitors
2024-11-01_03,Cognin_1,0,-1,visitors
2024-11-01_03,Cognin 1,1,-1,visitors
2024-11-01_03,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_03,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_04,Lyon_1,0,-1,visitors
2024-11-01_04,Lyon_1,1,-1,visitors
2024-11-01_04,Lyon_1,2,-1,visitors
2024-11-01_04,Lyon_2,0,-1,visitors
2024-11-01_04,Lyon_2,1,-1,visitors
2024-11-01_04,Lyon_3,0,-1,visitors
2024-11-01_04,Grenoble_1,0,-1,visitors
2024-11-01_04,Grenoble_1,1,-1,visitors
2024-11-01_04,Grenoble_1,2,-1,visitors
2024-11-01_04,Grenoble_2,0,-1,visitors
2024-11-01_04,Grenoble_2,1,-1,visitors
2024-11-01_04,Chambery_1,0,-1,visitors
2024-11-01_04,Chambery_1,1,-1,visitors
2024-11-01_04,Chambery_1,2,-1,visitors
2024-11-01_04,Chambery_2,0,-1,visitors
2024-11-01_04,Aix_les_bains_1,0,-1,visitors
2024-11-01_04,La_Biolle_1,0,-1,visitors
2024-11-01_04,Cognin_1,0,-1,visitors
2024-11-01_04,Cognin_1,1,-1,visitors
2024-11-01_04,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_04,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_05,Lyon_1,0,-1,visitors
2024-11-01_05,Lyon_1,1,-1,visitors
2024-11-01_05,Lyon_1,2,-1,visitors
2024-11-01_05,Lyon_2,0,-1,visitors
2024-11-01_05,Lyon_2,1,-1,visitors
2024-11-01_05,Lyon_3,0,-1,visitors
2024-11-01_05,Grenoble_1,0,-1,visitors
2024-11-01_05,Grenoble_1,1,-1,visitors
2024-11-01_05,Grenoble_1,2,-1,visitors
2024-11-01_05,Grenoble_2,0,-1,visitors
2024-11-01_05,Grenoble_2,1,-1,visitors
2024-11-01_05,Chambery_1,0,-1,visitors
2024-11-01_05,Chambery_1,1,-1,visitors
2024-11-01_05,Chambery_1,2,-1,visitors
2024-11-01_05,Chambery_2,0,-1,visitors
2024-11-01_05,Aix_les_bains_1,0,-1,visitors
2024-11-01_05,La_Biolle_1,0,-1,visitors
2024-11-01_05,Cognin_1,0,-1,visitors
2024-11-01_05,Cognin_1,1,-1,visitors
2024-11-01_05,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_05,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_06,Lyon_1,0,-1,visitors
2024-11-01_06,Lyon_1,1,-1,visitors
2024-11-01_06,Lyon_1,2,-1,visitors
2024-11-01_06,Lyon_2,0,-1,visitors
2024-11-01_06,Lyon_2,1,-1,visitors
2024-11-01_06,Lyon_3,0,-1,visitors
2024-11-01_06,Grenoble_1,0,-1,visitors
2024-11-01_06,Grenoble_1,1,-1,visitors
2024-11-01_06,Grenoble_1,2,-1,visitors
2024-11-01_06,Grenoble_2,0,-1,visitors
2024-11-01_06,Grenoble_2,1,-1,visitors
2024-11-01_06,Chambery_1,0,-1,visitors
2024-11-01_06,Chambery_1,1,-1,visitors
2024-11-01_06,Chambery_1,2,-1,visitors
2024-11-01_06,Chambery_2,0,-1,visitors
2024-11-01_06,Aix_les_bains_1,0,-1,visitors
2024-11-01_06,La_Biolle_1,0,-1,visitors
2024-11-01_06,Cognin_1,0,-1,visitors
2024-11-01_06,Cognin_1,1,-1,visitors
2024-11-01_06,La_Motte_Servolex_1,0,-1,visitors
2024-11-01_06,La_Motte_Servolex_1,1,-1,visitors
2024-11-01_07,Lyon_1,0,-1,visitors
2024-11-01_07,Lyon_1,1,-1,visitors
2024-11-01_07,Lyon_1,2,-1,visitors
2024-11-01_07,Lyon_2,0,-1,visitors
2024-11-01_07,Lyon_2,300,-1,visitors
2024-11-01_07,Lyon_3,0,-1,visitors
2024-11-01_07,Grenoble_1,0,-1,visitors
2024-11-01_07,Grenoble_1,1,-1,visitors
